filename,author,gender,faction
11004138,Tabea Rößner,weiblich,20
11004140,Stefan Ruppert,männlich,4
11004143,Tankred Schipanski,männlich,-1
11004149,Armin Schuster,männlich,4
11004155,Patrick Sensburg,männlich,7
11004164,Sonja Steffen,weiblich,26
11004165,Peer Steinbrück,männlich,23
11004167,Frank Walter Steinmeier,männlich,7
11004169,Stephan Stracke,männlich,20
11004175,Stephan Thomae,männlich,7
11004176,Wolfgang Tiefensee,männlich,20
11004179,Johannes Vogel,männlich,20
11004181,Kathrin Vogler,weiblich,23
11004182,Johann Wadephul,männlich,23
11004185,Halina Wawzyniak,weiblich,26
11004192,Matthias Zimmer,männlich,-1
11004215,Harald Ebner,männlich,13
11004217,Tobias Lindner,männlich,26
11004255,Franziska Brantner,weiblich,26
11004256,Karl Heinz Brunner,männlich,7
11004263,Katharina Dröge,weiblich,23
11004270,Johannes Fechner,männlich,20
11004276,Thorsten Frei,männlich,26
11004304,Alexander Hoffmann,männlich,4
11004353,Irene Mihalic,weiblich,23
11004393,Johann Saathoff,männlich,4
11004427,Volker Ullrich,männlich,4
11004682,Sebastian Brehm,männlich,-1
11004802,Helge Lindh,männlich,13
11004809,Heiko Maas,männlich,20
11004976,Johanna Wanka,NA,26
